cell_id,ndvi_mean
-30.0000_-64.0000,0.49674607268464244
-30.0000_-64.2500,0.4221323563892146
-30.0000_-64.5000,0.428415123094959
-30.0000_-64.7500,0.044760140679953105
-30.0000_-65.0000,0.12518112543962484
-30.0000_-65.2500,0.13288300117233293
-30.0000_-65.5000,0.16245275498241502
-30.0000_-65.7500,0.3515339976553341
-30.0000_-66.0000,0.39385345838218055
-30.0000_-66.2500,0.3670320046893318
-30.0000_-66.5000,0.42027432590855807
-30.0000_-66.7500,0.3514800703399766
-30.0000_-67.0000,0.31589542790152403
-30.0000_-67.2500,0.34093481828839395
-30.0000_-67.5000,0.34281992966002345
-30.0000_-67.7500,0.1515375146541618
-30.0000_-68.0000,0.13956330597889802
-30.2500_-56.7500,0.641851817116061
-30.2500_-57.0000,0.6437541617819461
-30.2500_-57.7500,0.6804308323563892
-30.2500_-58.0000,0.5523657678780773
-30.2500_-58.2500,0.6421602579132474
-30.2500_-58.5000,0.6663704572098476
-30.2500_-58.7500,0.6770214536928488
-30.2500_-59.0000,0.6662516998827668
-30.2500_-59.2500,0.5641048065650645
-30.2500_-59.5000,0.6359056271981243
-30.2500_-59.7500,0.637789449003517
-30.2500_-60.0000,0.5042701055099649
-30.2500_-60.2500,0.528088042203986
-30.2500_-60.5000,0.4999425556858148
-30.2500_-60.7500,0.43680175849941383
-30.2500_-61.0000,0.5747382180539273
-30.2500_-61.2500,0.5203016412661196
-30.2500_-61.5000,0.565768347010551
-30.2500_-61.7500,0.5234751465416179
-30.2500_-62.0000,0.5109524032825322
-30.2500_-62.2500,0.13562461899179368
-30.2500_-62.5000,0.14237291910902697
-30.2500_-62.7500,0.3805923798358734
-30.2500_-63.0000,0.474284876905041
-30.2500_-63.2500,0.4435677608440797
-30.2500_-63.5000,0.4939147713950762
-30.2500_-63.7500,0.3939287221570926
-30.2500_-64.0000,0.5338652989449004
-30.2500_-64.2500,0.4772921453692849
-30.2500_-64.5000,0.4559923798358734
-30.2500_-64.7500,0.5306617819460727
-30.2500_-65.0000,0.5302751465416178
-30.2500_-65.2500,0.15849449003516997
-30.2500_-65.5000,0.14286600234466587
-30.2500_-65.7500,0.42812602579132475
-30.2500_-66.0000,0.4857511137162955
